"ID"	"Description"	"GeneRatio"	"BgRatio"	"pvalue"	"p.adjust"	"qvalue"	"geneID"	"Count"
"ko00052"	"Galactose metabolism"	"14/240"	"34/1233"	0.00258883029110032	0.155639907704309	0.154729732805453	"gene3036/gene3038/gene3065/gene2674/gene2311/gene3050/gene968/gene470/gene3039/gene3037/gene746/gene783/gene3043/gene3041"	14
"ko00500"	"Starch and sucrose metabolism"	"21/240"	"62/1233"	0.00432333076956413	0.155639907704309	0.154729732805453	"gene966/gene468/gene579/gene970/gene3065/gene429/gene755/gene2674/gene238/gene969/gene2311/gene3050/gene469/gene470/gene1470/gene2675/gene3524/gene1622/gene1831/gene237/gene1141"	21
"ko00051"	"Fructose and mannose metabolism"	"14/240"	"39/1233"	0.0109758064465128	0.263419354716308	0.26187889065364	"gene3036/gene3038/gene3065/gene744/gene1522/gene258/gene178/gene3053/gene469/gene3915/gene1520/gene1402/gene1633/gene2241"	14
"ko00340"	"Histidine metabolism"	"5/240"	"11/1233"	0.0446405081467764	0.803529146641976	0.798830145784421	"gene989/gene991/gene988/gene996/gene994"	5
"ko00520"	"Amino sugar and nucleotide sugar metabolism"	"17/240"	"60/1233"	0.0579116172901925	0.833927288978772	0.829050521206967	"gene3971/gene579/gene3065/gene2674/gene1522/gene2255/gene2311/gene3053/gene2239/gene469/gene1520/gene2947/gene783/gene3524/gene197/gene3407/gene2241"	17
"ko02060"	"Phosphotransferase system (PTS)"	"9/240"	"28/1233"	0.075937275044482	0.899594624602594	0.894333837324217	"gene468/gene579/gene1469/gene1522/gene3050/gene1520/gene3043/gene3524/gene3041"	9
"ko00920"	"Sulfur metabolism"	"7/240"	"21/1233"	0.0948177038713908	0.899594624602594	0.894333837324217	"gene112/gene435/gene519/gene1573/gene434/gene1574/gene1259"	7
"ko00760"	"Nicotinate and nicotinamide metabolism"	"7/240"	"22/1233"	0.117019429304465	0.899594624602594	0.894333837324217	"gene3258/gene3309/gene2252/gene2137/gene3494/gene1838/gene1276"	7
"ko00040"	"Pentose and glucuronate interconversions"	"5/240"	"15/1233"	0.149417018288359	0.899594624602594	0.894333837324217	"gene1405/gene744/gene2673/gene2311/gene1402"	5
"ko02030"	"Bacterial chemotaxis"	"15/240"	"59/1233"	0.154616037799133	0.899594624602594	0.894333837324217	"gene126/gene2609/gene590/gene3611/gene276/gene2829/gene128/gene2903/gene1413/gene633/gene2678/gene3495/gene127/gene1942/gene1905"	15
"ko00680"	"Methane metabolism"	"8/240"	"28/1233"	0.160172940027339	0.899594624602594	0.894333837324217	"gene849/gene2562/gene581/gene2824/gene3915/gene409/gene1633/gene3331"	8
"ko00860"	"Porphyrin and chlorophyll metabolism"	"9/240"	"33/1233"	0.175290492628165	0.899594624602594	0.894333837324217	"gene103/gene1441/gene1438/gene105/gene1446/gene1919/gene104/gene1439/gene1432"	9
"ko00910"	"Nitrogen metabolism"	"5/240"	"16/1233"	0.184679845652746	0.899594624602594	0.894333837324217	"gene816/gene283/gene3527/gene279/gene282"	5
"ko00561"	"Glycerolipid metabolism"	"4/240"	"12/1233"	0.190493475005595	0.899594624602594	0.894333837324217	"gene1382/gene2916/gene968/gene736"	4
